6125
NM_001178157.1	NM_001178157.1	MissingGeneType
NM_001180043.1	NM_001180043.1	MissingGeneType
NM_001184582.1	NM_001184582.1	MissingGeneType
NM_001178208.1	NM_001178208.1	MissingGeneType
NM_001179897.1	NM_001179897.1	MissingGeneType
NM_001180042.1	NM_001180042.1	MissingGeneType
NM_001180041.1	NM_001180041.1	MissingGeneType
NM_001178206.2	NM_001178206.2	MissingGeneType
NM_001184642.1	NM_001184642.1	MissingGeneType
NM_001178205.1	NM_001178205.1	MissingGeneType
NM_001178204.1	NM_001178204.1	MissingGeneType
NM_001178203.1	NM_001178203.1	MissingGeneType
NM_001178202.2	NM_001178202.2	MissingGeneType
NM_001178201.2	NM_001178201.2	MissingGeneType
NM_001178200.1	NM_001178200.1	MissingGeneType
NM_001178199.2	NM_001178199.2	MissingGeneType
NM_001178198.1	NM_001178198.1	MissingGeneType
NM_001178197.1	NM_001178197.1	MissingGeneType
NM_001178196.2	NM_001178196.2	MissingGeneType
NM_001178195.2	NM_001178195.2	MissingGeneType
NM_001178194.1	NM_001178194.1	MissingGeneType
NM_001178193.1	NM_001178193.1	MissingGeneType
NM_001178192.2	NM_001178192.2	MissingGeneType
NM_001178191.1	NM_001178191.1	MissingGeneType
NM_001184453.1	NM_001184453.1	MissingGeneType
NM_001178189.1	NM_001178189.1	MissingGeneType
NM_001178188.1	NM_001178188.1	MissingGeneType
NM_001178187.1	NM_001178187.1	MissingGeneType
NM_001178186.1	NM_001178186.1	MissingGeneType
NM_001178185.1	NM_001178185.1	MissingGeneType
NM_001178184.1	NM_001178184.1	MissingGeneType
NM_001178183.1	NM_001178183.1	MissingGeneType
NM_001184629.1	NM_001184629.1	MissingGeneType
NM_001178182.1	NM_001178182.1	MissingGeneType
NM_001178181.1	NM_001178181.1	MissingGeneType
NM_001178180.1	NM_001178180.1	MissingGeneType
NM_001178179.1	NM_001178179.1	MissingGeneType
NM_001180035.1	NM_001180035.1	MissingGeneType
NM_001178178.1	NM_001178178.1	MissingGeneType
NM_001178177.1	NM_001178177.1	MissingGeneType
NM_001178176.1	NM_001178176.1	MissingGeneType
NM_001178175.1	NM_001178175.1	MissingGeneType
NM_001178174.1	NM_001178174.1	MissingGeneType
NM_001178173.1	NM_001178173.1	MissingGeneType
NM_001178172.1	NM_001178172.1	MissingGeneType
NM_001178171.2	NM_001178171.2	MissingGeneType
NR_132149.1	NR_132149.1	MissingGeneType
NM_001178170.2	NM_001178170.2	MissingGeneType
NM_001178169.1	NM_001178169.1	MissingGeneType
NM_001178168.1	NM_001178168.1	MissingGeneType
NM_001178167.1	NM_001178167.1	MissingGeneType
NM_001178166.1	NM_001178166.1	MissingGeneType
NM_001178165.2	NM_001178165.2	MissingGeneType
NM_001178164.1	NM_001178164.1	MissingGeneType
NM_001178163.1	NM_001178163.1	MissingGeneType
NM_001178162.2	NM_001178162.2	MissingGeneType
NM_001178161.1	NM_001178161.1	MissingGeneType
NM_001178160.1	NM_001178160.1	MissingGeneType
NM_001178159.1	NM_001178159.1	MissingGeneType
NM_001178158.2	NM_001178158.2	MissingGeneType
NM_001178156.1	NM_001178156.1	MissingGeneType
NM_001178155.2	NM_001178155.2	MissingGeneType
NM_001178154.1	NM_001178154.1	MissingGeneType
NM_001178153.1	NM_001178153.1	MissingGeneType
NM_001178152.1	NM_001178152.1	MissingGeneType
NM_001178151.1	NM_001178151.1	MissingGeneType
NM_001178150.1	NM_001178150.1	MissingGeneType
NR_132150.1	NR_132150.1	MissingGeneType
NM_001178149.1	NM_001178149.1	MissingGeneType
NM_001178148.1	NM_001178148.1	MissingGeneType
NM_001178209.1	NM_001178209.1	MissingGeneType
NM_001180033.1	NM_001180033.1	MissingGeneType
NM_001178210.1	NM_001178210.1	MissingGeneType
NM_001178211.1	NM_001178211.1	MissingGeneType
NM_001178212.1	NM_001178212.1	MissingGeneType
NM_001178213.1	NM_001178213.1	MissingGeneType
NM_001178214.1	NM_001178214.1	MissingGeneType
NM_001178215.2	NM_001178215.2	MissingGeneType
NM_001178216.1	NM_001178216.1	MissingGeneType
NM_001178217.1	NM_001178217.1	MissingGeneType
NM_001178218.2	NM_001178218.2	MissingGeneType
NM_001178219.1	NM_001178219.1	MissingGeneType
NM_001178220.2	NM_001178220.2	MissingGeneType
NM_001178221.1	NM_001178221.1	MissingGeneType
NM_001178222.1	NM_001178222.1	MissingGeneType
NM_001178223.1	NM_001178223.1	MissingGeneType
NM_001178224.1	NM_001178224.1	MissingGeneType
NM_001178225.1	NM_001178225.1	MissingGeneType
NM_001178226.1	NM_001178226.1	MissingGeneType
NM_001184583.1	NM_001184583.1	MissingGeneType
NM_001178227.1	NM_001178227.1	MissingGeneType
NM_001178230.1	NM_001178230.1	MissingGeneType
NM_001178235.1	NM_001178235.1	MissingGeneType
NM_001180045.1	NM_001180045.1	MissingGeneType
NM_001178236.1	NM_001178236.1	MissingGeneType
NM_001178239.1	NM_001178239.1	MissingGeneType
NP_009310.1	NP_009310.1	MissingGeneType
NP_009309.1	NP_009309.1	MissingGeneType
NP_009308.2	NP_009308.2	MissingGeneType
NP_009307.2	NP_009307.2	MissingGeneType
NP_009306.1	NP_009306.1	MissingGeneType
NP_009305.1	NP_009305.1	MissingGeneType
NP_009311.2	NP_009311.2	MissingGeneType
NP_009312.1	NP_009312.1	MissingGeneType
NP_009313.1	NP_009313.1	MissingGeneType
NP_009318.1	NP_009318.1	MissingGeneType
NP_009317.1	NP_009317.1	MissingGeneType
