# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "data/yeast.gtf" "-o" "outputs/final_counts_matrix.txt" "outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam" 
Geneid	Chr	Start	End	Strand	Length	outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam
NM_001178157.1	chrI	130799	131983	+	1185	23
NM_001180043.1	chrI	1807	2169	-	363	0
NM_001184582.1	chrI	2480	2707	+	228	0
NM_001178208.1	chrI	7235	9016	-	1782	0
NM_001179897.1	chrI	11565	11951	-	387	0
NM_001180042.1	chrI	12046	12426	+	381	0
NM_001180041.1	chrI	13363	13743	-	381	0
NM_001178206.2	chrI	21566	21850	+	285	0
NM_001184642.1	chrI	22395	22685	-	291	0
NM_001178205.1	chrI	24000	27968	-	3969	0
NM_001178204.1	chrI	31567	32940	+	1374	0
NM_001178203.1	chrI	33448	34701	+	1254	0
NM_001178202.2	chrI	35155	36303	+	1149	8
NM_001178201.2	chrI	36509	37147	+	639	10
NM_001178200.1	chrI	37464	38972	+	1509	0
NM_001178199.2	chrI	39259	41901	+	2643	0
NM_001178198.1	chrI	42177	42719	+	543	2
NM_001178197.1	chrI	42881	45022	-	2142	0
NM_001178196.2	chrI	45899	48250	+	2352	9
NM_001178195.2	chrI	48564	51707	+	3144	6
NM_001178194.1	chrI	51855	52595	-	741	6
NM_001178193.1	chrI	52801	54789	-	1989	2
NM_001178192.2	chrI	54989	56857	-	1869	0
NM_001178191.1	chrI	57029	57385	-	357	0
NM_001184453.1	chrI	57518	57850	+	333	2
NM_001178189.1	chrI	57950	58462	-	513	12
NM_001178188.1	chrI	58695	61052	-	2358	0
NM_001178187.1	chrI	61316	62563	+	1248	8
NM_001178186.1	chrI	62840	65404	+	2565	6
NM_001178185.1	chrI	65778	67520	-	1743	6
NM_001178184.1	chrI	68716	69525	-	810	0
NM_001178183.1	chrI	71786	73288	+	1503	205
NM_001184629.1	chrI	73426	73518	-	93	0
NM_001178182.1	chrI	74020	74823	+	804	0
NM_001178181.1	chrI	75043	76152	-	1110	6
NM_001178180.1	chrI	76427	79435	+	3009	26
NM_001178179.1	chrI	79718	80587	+	870	0
NM_001180035.1	chrI	80710	81951	-	1242	2
NM_001178178.1	chrI	82706	83227	+	522	0
NM_001178177.1	chrI	83335	84474	-	1140	0
NM_001178176.1	chrI	84749	87031	-	2283	6
NM_001178175.1	chrI;chrI	87286;87501	87387;87752	+;+	354	0
NM_001178174.1	chrI	87855	92270	-	4416	8
NM_001178173.1	chrI	92900	94486	+	1587	0
NM_001178172.1	chrI	94687	95472	+	786	2
NM_001178171.2	chrI	95630	99697	-	4068	2
NR_132149.1	chrI	99305	99868	+	564	0
NM_001178170.2	chrI	100225	101145	-	921	16
NM_001178169.1	chrI	101565	105872	-	4308	6
NM_001178168.1	chrI	106272	108551	-	2280	6
NM_001178167.1	chrI	108877	110430	-	1554	0
NM_001178166.1	chrI	110846	113359	-	2514	2
NM_001178165.2	chrI	113614	114615	-	1002	0
NM_001178164.1	chrI	114919	118314	+	3396	0
NM_001178163.1	chrI	118564	119541	-	978	0
NM_001178162.2	chrI	120225	124295	+	4071	2
NM_001178161.1	chrI	124879	126786	+	1908	16
NM_001178160.1	chrI	126903	128102	-	1200	4
NM_001178159.1	chrI	128252	129019	-	768	2
NM_001178158.2	chrI	129270	130487	+	1218	2
NM_001178156.1	chrI	132199	134076	+	1878	2
NM_001178155.2	chrI	134184	135665	-	1482	0
NM_001178154.1	chrI	135854	136633	+	780	2
NM_001178153.1	chrI	136914	137510	+	597	2
NM_001178152.1	chrI	137698	138345	-	648	2
NM_001178151.1	chrI	139503	141431	-	1929	13
NM_001178150.1	chrI;chrI	142174;142620	142253;143160	+;+	621	71
NR_132150.1	chrI	142367	142468	+	102	0
NM_001178149.1	chrI	143707	147531	+	3825	2
NM_001178148.1	chrI;chrI	147594;151097	151006;151166	-;-	3483	0
NM_001178209.1	chrI	152257	153876	+	1620	2
NM_001180033.1	chrI	154065	154724	-	660	6
NM_001178210.1	chrI	155005	156285	+	1281	0
NM_001178211.1	chrI	156754	158619	-	1866	2
NM_001178212.1	chrI	158966	159793	+	828	4
NM_001178213.1	chrI	160597	164187	-	3591	0
NM_001178214.1	chrI	164544	165866	-	1323	0
NM_001178215.2	chrI	166742	168871	-	2130	4
NM_001178216.1	chrI	169375	170295	+	921	20
NM_001178217.1	chrI	170396	171703	-	1308	0
NM_001178218.2	chrI	172211	175135	-	2925	0
NM_001178219.1	chrI	176856	177023	-	168	0
NM_001178220.2	chrI	179281	179820	-	540	0
NM_001178221.1	chrI	183770	184477	+	708	0
NM_001178222.1	chrI	184892	185596	+	705	2
NM_001178223.1	chrI	186321	186545	+	225	1
NM_001178224.1	chrI	186836	187732	+	897	0
NM_001178225.1	chrI	188107	188811	+	705	1
NM_001178226.1	chrI	190193	192256	+	2064	0
NM_001184583.1	chrI	192337	192417	-	81	0
NM_001178227.1	chrI	192619	196185	+	3567	2
NM_001178230.1	chrI	203403	208016	+	4614	2
NM_001178235.1	chrI	220198	220497	+	300	0
NM_001180045.1	chrI	221049	221660	+	612	0
NM_001178236.1	chrI	222406	222891	+	486	0
